Order_ID,Order_Date,Origin_City,Destination_City,Route_Type,Transportation_Mode,Product_Category,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Delivery_Status,Disruption_Event,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Mitigation_Action_Taken,delay_ratio,total_risk_index,risk_level,reallocation_strategy,new_shipping_cost_usd,estimated_new_lead_time
ORD-00BCB25B,2024-04-05,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,,0.81,8.9,1.83,1611.81,1781,Standard Shipping,0.0,0.8420000000000001,High,Switch to Air (Express),12975.070499999998,8.4
ORD-EBDBACB7,2024-09-08,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,5,2,0,On Time,,0.7,5.9,2.44,76127.7,8142,Standard Shipping,0.0,0.656,Moderate,Manual Review Required,87546.855,5.0
ORD-4052DA06,2025-01-28,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Semiconductors,3,4,4,0,On Time,,0.46,8.1,3.86,13699.18,1706,Standard Shipping,0.0,0.6000000000000001,High,Switch to Air (Priority),110278.39899999999,1.6
ORD-03F41ABB,2025-02-04,"Santos, BR","Shanghai, CN",Commodity,Sea,Consumer Electronics,35,36,35,0,On Time,,0.88,9.3,1.58,5448.24,5796,Standard Shipping,0.0,0.9000000000000001,High,Switch to Air (Priority),43858.331999999995,14.4
ORD-347A88A6,2025-05-20,"Hamburg, DE","New York, US",Atlantic,Sea,Raw Materials,12,13,12,0,On Time,,0.55,2.9,3.12,1215.98,1569,Standard Shipping,0.0,0.446,Moderate,Maintain Current Route,1398.377,13.0
ORD-113CD5AB,2025-11-01,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,15,12,0,On Time,,0.12,7.1,2.77,2890.72,5162,Standard Shipping,0.0,0.356,Moderate,Maintain Current Route,3324.3279999999995,15.0
ORD-2A8EE4EE,2024-03-23,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,26,23,0,On Time,,0.5,1.2,4.59,6888.0,9184,Standard Shipping,0.0,0.348,High,Switch to Air (Priority),55448.4,10.4
ORD-C6B65B99,2025-11-20,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,10,7,0,On Time,,0.83,2.6,3.77,6060.05,6623,Standard Shipping,0.0,0.602,Moderate,Maintain Current Route,6969.0575,10.0
ORD-A5C7A8D7,2024-06-25,"Hamburg, DE","New York, US",Atlantic,Sea,Pharmaceuticals,12,15,18,3,Late,Port Congestion,0.74,5.8,2.96,12325.2,8586,Expedited Air Freight,0.2,0.6759999999999999,Moderate,Switch to Air (Priority),99217.86,6.0
ORD-B5E7E96D,2025-11-29,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Perishable Foods,28,31,27,0,On Time,,0.67,4.3,4.32,1486.3,1780,Standard Shipping,0.0,0.5740000000000001,High,Reroute via Atlantic/Cape,2222.0185,34.1
ORD-358B0702,2025-04-14,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Consumer Electronics,28,31,39,8,Late,Geopolitical Conflict (Route Diversion),0.64,7.1,2.76,9950.21,7584,Re-routing,0.2580645161290322,0.6679999999999999,High,Switch to Air (Priority),80099.19049999998,12.4
ORD-37E43ECB,2025-04-30,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,10,7,0,On Time,,0.74,5.0,3.93,7899.6,9080,Standard Shipping,0.0,0.644,Moderate,Maintain Current Route,9084.539999999999,10.0
